TT	PID	AT	CT	IO_D		WT	RT	TRT	
1675	275	275	50	7		1350	156	1400
1676	186	188	50	7		1438	54	1488
1680	285	285	50	8		1345	80	1395
Processes: 494
Avg WT = 684.97,	Avg RT = 83.7133,	Avg TRT = 714.24
Migration%:	RTF = 101.333%,	MaxW = 570.333%
Forked Process: 64.6667%
Killed Process: 0.666667%

Processors: 11[5 FCFS, 2 SJF, 4 RR]
Processors Load
P1 = 0.538101%,	P2 = 0.419093%,	P3 = 0.337888%,	P4 = 0.301953%,	P5 = 0.268351%,	P6 = 0.572637%,	P7 = 0.448962%,	P8 = 0.614639%,	P9 = 0.615573%,	P10 = 0.619306%,	P11 = 0.611372%

Processors Utiliz
P1 = 68.631%,	P2 = 53.4524%,	P3 = 43.0952%,	P4 = 38.5119%,	P5 = 34.2262%,	P6 = 73.0357%,	P7 = 57.2619%,	P8 = 78.3929%,	P9 = 78.5119%,	P10 = 78.9881%,	P11 = 77.9762%
Avg Utilization = 62.0076%
